keyword,service_category,service_subcategory,intent,location_tag,luxury_tag,b2b_tag,startup_tag,avg_monthly_searches,competition_index,cpc,ctr,clicks,cost,est_clicks_from_volume,est_spend_at_top_bid,opportunity_score_z
design services company,Other/Generic,General Branding/Marketing,High (Commercial),,0.0,0.0,0.0,10.0,13.0,,0.045,0.45,,0.45,,0.8074674725963045
creative design company,Brand Management,Graphic/Visual Design,High (Commercial),,0.0,0.0,0.0,70.0,13.0,5.202380952380953,0.045,3.15,16.3875,3.15,18.1125,0.8552667850090934
creative companies,Other/Generic,General Branding/Marketing,High (Commercial),,0.0,0.0,0.0,320.0,16.0,7.490625000000001,0.045,14.4,107.865,14.4,110.16,0.618262229314971
famous graphic design companies,Brand Management,Graphic/Visual Design,High (Commercial),,0.0,0.0,0.0,20.0,22.0,1.12,0.045,0.8999999999999999,1.008,0.8999999999999999,1.512,1.320050596087692
best design companies,Other/Generic,General Branding/Marketing,High (Commercial),,0.0,0.0,0.0,20.0,37.0,2.013333333333333,0.045,0.8999999999999999,1.812,0.8999999999999999,2.718,0.2013878598510251
design studio agency,Brand Management,Graphic/Visual Design,High (Commercial),,0.0,0.0,0.0,30.0,32.0,3.212222222222222,0.045,1.35,4.336499999999999,1.35,5.575499999999999,0.1923333005110974
creative agency brand identity,Branding/Rebranding,Identity & Guidelines,High (Commercial),,0.0,0.0,0.0,10.0,0.0,,0.045,0.45,,0.45,,1.567883265817839
brand consulting services,Other/Generic,General Branding/Marketing,High (Commercial),,0.0,0.0,0.0,30.0,9.0,3.484444444444445,0.045,1.35,4.704,1.35,6.048,1.464166066816873
top brand strategy agencies,Brand Consulting,Brand Strategy,High (Commercial),,0.0,0.0,0.0,10.0,10.0,,0.045,0.45,,0.45,,0.9829480402628124
best marketing firm,Other/Generic,General Branding/Marketing,High (Commercial),,0.0,0.0,0.0,390.0,26.0,6.349572649572649,0.045,17.55,111.435,17.55,113.373,0.4972951385902242
brand content marketing,Other/Generic,General Branding/Marketing,Low (Informational/Generic),,0.0,0.0,0.0,140.0,2.0,,0.045,6.3,,6.3,,1.740252993007454
brand advertising companies,Brand Management,Ads & Content,High (Commercial),,0.0,0.0,0.0,70.0,2.0,,0.045,3.15,,3.15,,1.584445500230197
brand communication company,Brand Consulting,Brand Strategy,High (Commercial),,0.0,0.0,0.0,10.0,100.0,,0.045,0.45,,0.45,,-4.281468989732426
creative communications agency,Other/Generic,General Branding/Marketing,High (Commercial),,0.0,0.0,0.0,70.0,20.0,2.75952380952381,0.045,3.15,8.6925,3.15,9.6075,1.105547349001264
brand consulting companies,Other/Generic,General Branding/Marketing,High (Commercial),,0.0,0.0,0.0,70.0,6.0,3.646190476190476,0.045,3.15,11.4855,3.15,12.6945,1.684997213873458
graphic design company branding,Brand Management,Graphic/Visual Design,High (Commercial),,0.0,0.0,0.0,10.0,,,0.045,0.45,,0.45,,0.6687194443917341
creative services agency,Other/Generic,General Branding/Marketing,High (Commercial),,0.0,0.0,0.0,20.0,13.0,6.140000000000001,0.045,0.8999999999999999,5.526,0.8999999999999999,8.289,0.4907557086259638
brand strategy in marketing,Brand Consulting,Brand Strategy,Low (Informational/Generic),,0.0,0.0,0.0,390.0,6.0,6.811538461538461,0.045,17.55,119.5425,17.55,121.6215,1.542403845711394
top brand marketing agencies,Other/Generic,General Branding/Marketing,High (Commercial),,0.0,0.0,0.0,10.0,0.0,,0.045,0.45,,0.45,,1.567883265817839
brand strategy and design agency,Brand Consulting,Brand Strategy,High (Commercial),,0.0,0.0,0.0,10.0,0.0,,0.045,0.45,,0.45,,1.567883265817839
branding vendors,Other/Generic,General Branding/Marketing,Low (Informational/Generic),,0.0,0.0,0.0,10.0,17.0,,0.045,0.45,,0.45,,0.5734933823742938
best brand identity agencies,Branding/Rebranding,Identity & Guidelines,High (Commercial),,0.0,0.0,0.0,10.0,0.0,,0.045,0.45,,0.45,,1.567883265817839
brand design consultancy,Other/Generic,General Branding/Marketing,High (Commercial),,0.0,0.0,0.0,70.0,2.0,,0.045,3.15,,3.15,,1.584445500230197
brand and communications,Other/Generic,General Branding/Marketing,Low (Informational/Generic),,0.0,0.0,0.0,390.0,2.0,6.782051282051283,0.045,17.55,119.025,17.55,121.095,1.784341451507163
product branding services,Other/Generic,General Branding/Marketing,High (Commercial),,0.0,0.0,0.0,10.0,0.0,,0.045,0.45,,0.45,,1.567883265817839
brand design identity,Other/Generic,General Branding/Marketing,Low (Informational/Generic),,0.0,0.0,0.0,10.0,3.0,,0.045,0.45,,0.45,,1.392402698151331
top graphic design agencies,Brand Management,Graphic/Visual Design,High (Commercial),,0.0,0.0,0.0,70.0,35.0,2.135238095238095,0.045,3.15,6.725999999999999,3.15,7.433999999999999,0.3967435118160112
a branding company,Other/Generic,General Branding/Marketing,High (Commercial),,0.0,0.0,0.0,10.0,9.0,,0.045,0.45,,0.45,,1.041441562818315
brand design firms,Other/Generic,General Branding/Marketing,High (Commercial),,0.0,0.0,0.0,170.0,10.0,5.207450980392156,0.045,7.649999999999999,39.837,7.649999999999999,41.46299999999999,1.251960237706681
top branding firms,Other/Generic,General Branding/Marketing,High (Commercial),,0.0,0.0,0.0,320.0,20.0,7.657083333333333,0.045,14.4,110.262,14.4,112.608,0.3393332280795748
marketing design companies,Other/Generic,General Branding/Marketing,High (Commercial),,0.0,0.0,0.0,20.0,27.0,2.753333333333333,0.045,0.8999999999999999,2.478,0.8999999999999999,3.717,0.5864734684854687
top creative design agencies,Brand Management,Graphic/Visual Design,High (Commercial),,0.0,0.0,0.0,10.0,0.0,,0.045,0.45,,0.45,,1.567883265817839
brand advertising agency,Brand Management,Ads & Content,High (Commercial),,0.0,0.0,0.0,70.0,2.0,,0.045,3.15,,3.15,,1.584445500230197
brand identity creative agency,Branding/Rebranding,Identity & Guidelines,High (Commercial),,0.0,0.0,0.0,10.0,50.0,,0.045,0.45,,0.45,,-1.356792861957294
rebranding a business,Branding/Rebranding,Rebrand,Low (Informational/Generic),,0.0,0.0,0.0,70.0,35.0,4.759047619047619,0.045,3.15,14.991,3.15,16.569,-0.3118609857595438
creative firm,Other/Generic,General Branding/Marketing,High (Commercial),,0.0,0.0,0.0,10.0,9.0,,0.045,0.45,,0.45,,1.041441562818315
biggest design agencies,Other/Generic,General Branding/Marketing,High (Commercial),,0.0,0.0,0.0,20.0,31.0,3.353333333333333,0.045,0.8999999999999999,3.018,0.8999999999999999,4.527,0.1904591483278502
branding and advertising agency,Brand Management,Ads & Content,High (Commercial),,0.0,0.0,0.0,70.0,2.0,,0.045,3.15,,3.15,,1.584445500230197
branding digital marketing agency,Other/Generic,General Branding/Marketing,High (Commercial),,0.0,0.0,0.0,20.0,0.0,,0.045,0.8999999999999999,,0.8999999999999999,,1.590141479071733
graphic companies,Other/Generic,General Branding/Marketing,High (Commercial),,0.0,0.0,0.0,110.0,21.0,3.588484848484848,0.045,4.95,17.763,4.95,18.909,0.9122116171931582
digital product design company,Other/Generic,General Branding/Marketing,High (Commercial),,0.0,0.0,0.0,10.0,12.0,,0.045,0.45,,0.45,,0.865960995151807
best branding studios,Other/Generic,General Branding/Marketing,High (Commercial),,0.0,0.0,0.0,10.0,0.0,,0.045,0.45,,0.45,,1.567883265817839
communication design agency,Other/Generic,General Branding/Marketing,High (Commercial),,0.0,0.0,0.0,10.0,0.0,,0.045,0.45,,0.45,,1.567883265817839
branded content companies,Other/Generic,General Branding/Marketing,High (Commercial),,0.0,0.0,0.0,30.0,20.0,6.292222222222222,0.045,1.35,8.494499999999999,1.35,10.9215,0.06244905750767582
corporate design agency,Other/Generic,General Branding/Marketing,High (Commercial),,0.0,0.0,0.0,10.0,16.0,,0.045,0.45,,0.45,,0.6319869049297965
creative production companies,Other/Generic,General Branding/Marketing,High (Commercial),,0.0,0.0,0.0,70.0,17.0,3.058095238095238,0.045,3.15,9.633000000000001,3.15,10.647,1.200393611771243
marketing and design companies,Other/Generic,General Branding/Marketing,High (Commercial),,0.0,0.0,0.0,20.0,27.0,2.753333333333333,0.045,0.8999999999999999,2.478,0.8999999999999999,3.717,0.5864734684854687
brand identity marketing,Branding/Rebranding,Identity & Guidelines,Low (Informational/Generic),,0.0,0.0,0.0,10.0,21.0,1.57,0.045,0.45,0.7064999999999999,0.45,2.1195,1.234755732937595
service design company,Other/Generic,General Branding/Marketing,High (Commercial),,0.0,0.0,0.0,10.0,57.0,1.54,0.045,0.45,0.6929999999999998,0.45,2.079,-0.8629090675637201
identity in design,Other/Generic,General Branding/Marketing,Low (Informational/Generic),,0.0,0.0,0.0,10.0,0.0,,0.045,0.45,,0.45,,1.567883265817839
artist branding agency,Other/Generic,General Branding/Marketing,High (Commercial),,0.0,0.0,0.0,10.0,49.0,0.74,0.045,0.45,0.333,0.45,0.999,-0.1789072472055551
famous design agencies,Other/Generic,General Branding/Marketing,High (Commercial),,0.0,0.0,0.0,10.0,34.0,1.523333333333333,0.045,0.45,0.6854999999999998,0.45,2.0565,0.4869430687110525
famous design companies,Other/Generic,General Branding/Marketing,High (Commercial),,0.0,0.0,0.0,40.0,16.0,1.858333333333333,0.045,1.8,3.344999999999999,1.8,4.013999999999999,1.516128652757734
digital product design studio,Brand Management,Graphic/Visual Design,High (Commercial),,0.0,0.0,0.0,10.0,9.0,,0.045,0.45,,0.45,,1.041441562818315
brand content production,Other/Generic,General Branding/Marketing,Low (Informational/Generic),,0.0,0.0,0.0,40.0,3.0,,0.045,1.8,,1.8,,1.459177337913013
best graphic design firms,Brand Management,Graphic/Visual Design,High (Commercial),,0.0,0.0,0.0,10.0,25.0,1.196666666666666,0.045,0.45,0.5384999999999998,0.45,1.6155,1.101606674675518
corporate identity design company,Other/Generic,General Branding/Marketing,High (Commercial),,0.0,0.0,0.0,10.0,0.0,,0.045,0.45,,0.45,,1.567883265817839
digital marketing and branding company,Other/Generic,General Branding/Marketing,High (Commercial),,0.0,0.0,0.0,40.0,0.0,,0.045,1.8,,1.8,,1.634657905579521
digital marketing branding services,Other/Generic,General Branding/Marketing,High (Commercial),,0.0,0.0,0.0,10.0,,,0.045,0.45,,0.45,,0.6687194443917341
digital design firms,Other/Generic,General Branding/Marketing,High (Commercial),,0.0,0.0,0.0,10.0,10.0,,0.045,0.45,,0.45,,0.9829480402628124
content design agency,Other/Generic,General Branding/Marketing,High (Commercial),,0.0,0.0,0.0,20.0,24.0,1.426666666666667,0.045,0.8999999999999999,1.284,0.8999999999999999,1.926,1.120242989009598
branding by design,Other/Generic,General Branding/Marketing,Low (Informational/Generic),,0.0,0.0,0.0,20.0,0.0,,0.045,0.8999999999999999,,0.8999999999999999,,1.590141479071733
brand & design,Other/Generic,General Branding/Marketing,Low (Informational/Generic),,0.0,0.0,0.0,1900.0,39.0,4.195228070175439,0.045,85.5,358.692,85.5,359.955,3.679687031716751
brand identity content,Branding/Rebranding,Identity & Guidelines,Low (Informational/Generic),,0.0,0.0,0.0,10.0,,,0.045,0.45,,0.45,,0.6687194443917341
production design companies,Other/Generic,General Branding/Marketing,High (Commercial),,0.0,0.0,0.0,260.0,36.0,7.999487179487181,0.045,11.7,93.59400000000001,11.7,96.057,-0.8225844089345073
we brand agency,Other/Generic,General Branding/Marketing,High (Commercial),,0.0,0.0,0.0,10.0,0.0,,0.045,0.45,,0.45,,1.567883265817839
creative and digital agency,Other/Generic,General Branding/Marketing,High (Commercial),,0.0,0.0,0.0,30.0,9.0,,0.045,1.35,,1.35,,1.085957989326103
corporate identity agency,Other/Generic,General Branding/Marketing,High (Commercial),,0.0,0.0,0.0,10.0,9.0,,0.045,0.45,,0.45,,1.041441562818315
production company branding,Other/Generic,General Branding/Marketing,High (Commercial),,0.0,0.0,0.0,10.0,0.0,,0.045,0.45,,0.45,,1.567883265817839
marketing agency for luxury brands,Digital Experiences,UX/UI Design,High (Commercial),,1.0,0.0,0.0,30.0,13.0,3.025555555555556,0.045,1.35,4.0845,1.35,5.2515,1.354122745045614
digital marketing agency branding,Other/Generic,General Branding/Marketing,High (Commercial),,0.0,0.0,0.0,40.0,0.0,,0.045,1.8,,1.8,,1.634657905579521
world's best branding agencies,Other/Generic,General Branding/Marketing,High (Commercial),,0.0,0.0,0.0,30.0,40.0,4.23888888888889,0.045,1.35,5.7225,1.35,7.3575,-0.5528837178227417
leading graphic design companies,Brand Management,Graphic/Visual Design,High (Commercial),,0.0,0.0,0.0,70.0,35.0,2.135238095238095,0.045,3.15,6.725999999999999,3.15,7.433999999999999,0.3967435118160112
branding and digital agency,Other/Generic,General Branding/Marketing,High (Commercial),,0.0,0.0,0.0,20.0,0.0,,0.045,0.8999999999999999,,0.8999999999999999,,1.590141479071733
creative design firm,Brand Management,Graphic/Visual Design,High (Commercial),,0.0,0.0,0.0,10.0,0.0,,0.045,0.45,,0.45,,1.567883265817839
creative and design agency,Other/Generic,General Branding/Marketing,High (Commercial),,0.0,0.0,0.0,260.0,21.0,4.335897435897436,0.045,11.7,50.73,11.7,52.065,1.044233303466394
branding and digital marketing agency,Other/Generic,General Branding/Marketing,High (Commercial),,0.0,0.0,0.0,20.0,0.0,,0.045,0.8999999999999999,,0.8999999999999999,,1.590141479071733
biggest graphic design companies,Brand Management,Graphic/Visual Design,High (Commercial),,0.0,0.0,0.0,70.0,35.0,2.135238095238095,0.045,3.15,6.725999999999999,3.15,7.433999999999999,0.3967435118160112
graphic design agency services,Brand Management,Graphic/Visual Design,High (Commercial),,0.0,0.0,0.0,10.0,0.0,,0.045,0.45,,0.45,,1.567883265817839
creative strategy in advertising,Brand Management,Ads & Content,Low (Informational/Generic),,0.0,0.0,0.0,40.0,7.0,10.54166666666667,0.045,1.8,18.975,1.8,22.77,-0.3025118608108446
brand identity firm,Branding/Rebranding,Identity & Guidelines,High (Commercial),,0.0,0.0,0.0,20.0,22.0,2.339999999999999,0.045,0.8999999999999999,2.105999999999999,0.8999999999999999,3.158999999999999,0.9905687952186231
creative media company,Other/Generic,General Branding/Marketing,High (Commercial),,0.0,0.0,0.0,20.0,42.0,2.32,0.045,0.8999999999999999,2.088,0.8999999999999999,3.132,-0.1739003148935765
digital creative studio,Brand Management,Creative Fulfillment,High (Commercial),,0.0,0.0,0.0,20.0,22.0,1.36,0.045,0.8999999999999999,1.224,0.8999999999999999,1.836,1.255234504113449
brand marketing firms,Other/Generic,General Branding/Marketing,High (Commercial),,0.0,0.0,0.0,140.0,4.0,7.333333333333333,0.045,6.3,46.2,6.3,48.51,0.962015957800283
creative branding design,Other/Generic,General Branding/Marketing,Low (Informational/Generic),,0.0,0.0,0.0,210.0,19.0,2.662698412698413,0.045,9.45,25.1625,9.45,25.9875,1.501805206386603
the best creative agencies,Other/Generic,General Branding/Marketing,High (Commercial),,0.0,0.0,0.0,10.0,,,0.045,0.45,,0.45,,0.6687194443917341
that branding company,Other/Generic,General Branding/Marketing,High (Commercial),,0.0,0.0,0.0,10.0,2.0,,0.045,0.45,,0.45,,1.450896220706834
companies branding,Other/Generic,General Branding/Marketing,High (Commercial),,0.0,0.0,0.0,590.0,14.0,6.40677966101695,0.045,26.55,170.1,26.55,172.044,1.628931945520194
marketing agency creative,Other/Generic,General Branding/Marketing,High (Commercial),,0.0,0.0,0.0,10.0,100.0,,0.045,0.45,,0.45,,-4.281468989732426
be brand agency,Other/Generic,General Branding/Marketing,High (Commercial),,0.0,0.0,0.0,10.0,0.0,,0.045,0.45,,0.45,,1.567883265817839
best creative design agencies,Brand Management,Graphic/Visual Design,High (Commercial),,0.0,0.0,0.0,10.0,36.0,,0.045,0.45,,0.45,,-0.5378835461802565
leading branding agencies,Other/Generic,General Branding/Marketing,High (Commercial),,0.0,0.0,0.0,320.0,20.0,7.657083333333333,0.045,14.4,110.262,14.4,112.608,0.3393332280795748
identity branding agency,Other/Generic,General Branding/Marketing,High (Commercial),,0.0,0.0,0.0,480.0,2.0,6.409722222222222,0.045,21.6,138.45,21.6,140.4,2.085219181569557
the branding firm,Other/Generic,General Branding/Marketing,High (Commercial),,0.0,0.0,0.0,10.0,0.0,,0.045,0.45,,0.45,,1.567883265817839
designers company,Other/Generic,General Branding/Marketing,High (Commercial),,0.0,0.0,0.0,90.0,12.0,2.509259259259259,0.045,4.05,10.1625,4.05,10.9755,1.685600164735738
company branding agency,Other/Generic,General Branding/Marketing,High (Commercial),,0.0,0.0,0.0,10.0,0.0,,0.045,0.45,,0.45,,1.567883265817839
branding and design studio,Brand Management,Graphic/Visual Design,High (Commercial),,0.0,0.0,0.0,90.0,20.0,4.675925925925926,0.045,4.05,18.9375,4.05,20.4525,0.6325067095242441
brand strategy design consultancy,Brand Consulting,Brand Strategy,High (Commercial),,0.0,0.0,0.0,10.0,7.0,,0.045,0.45,,0.45,,1.15842860792932
agency for creatives,Other/Generic,General Branding/Marketing,High (Commercial),,0.0,0.0,0.0,10.0,0.0,,0.045,0.45,,0.45,,1.567883265817839
business design agency,Other/Generic,General Branding/Marketing,High (Commercial),,0.0,0.0,0.0,10.0,0.0,,0.045,0.45,,0.45,,1.567883265817839
creative digital design,Other/Generic,General Branding/Marketing,Low (Informational/Generic),,0.0,0.0,0.0,50.0,4.0,,0.045,2.25,,2.25,,1.422942028611404
creative graphic design agency,Brand Management,Graphic/Visual Design,High (Commercial),,0.0,0.0,0.0,20.0,6.0,,0.045,0.8999999999999999,,0.8999999999999999,,1.239180343738717
brands communication,Other/Generic,General Branding/Marketing,Low (Informational/Generic),,0.0,0.0,0.0,390.0,2.0,6.782051282051283,0.045,17.55,119.025,17.55,121.095,1.784341451507163
digital agency design,Other/Generic,General Branding/Marketing,High (Commercial),,0.0,0.0,0.0,10.0,0.0,,0.045,0.45,,0.45,,1.567883265817839
design strategy agency,Other/Generic,General Branding/Marketing,High (Commercial),,0.0,0.0,0.0,20.0,13.0,0.6666666666666666,0.045,0.8999999999999999,0.5999999999999999,0.8999999999999999,0.8999999999999999,1.968922695038564
branding in web design,Digital Experiences,Websites,Low (Informational/Generic),,0.0,0.0,0.0,170.0,32.0,8.147450980392158,0.045,7.649999999999999,62.328,7.649999999999999,64.872,-0.8288943851988562
design agency company,Other/Generic,General Branding/Marketing,High (Commercial),,0.0,0.0,0.0,10.0,21.0,,0.045,0.45,,0.45,,0.3395192921522832
creative studio agency,Brand Management,Creative Fulfillment,High (Commercial),,0.0,0.0,0.0,10.0,93.0,1.179999999999999,0.045,0.45,0.5309999999999997,0.45,1.593,-2.87145174160045
creative media agencies,Other/Generic,General Branding/Marketing,High (Commercial),,0.0,0.0,0.0,90.0,17.0,3.314814814814815,0.045,4.05,13.425,4.05,14.499,1.175578539544677
creative agency partners,Brand Management,Creative Fulfillment,High (Commercial),,0.0,0.0,0.0,10.0,57.0,,0.045,0.45,,0.45,,-1.766247519845812
luxury creative agency,Digital Experiences,UX/UI Design,High (Commercial),,1.0,0.0,0.0,20.0,14.0,3.866666666666667,0.045,0.8999999999999999,3.48,0.8999999999999999,5.22,1.046214612826486
best branding firms,Other/Generic,General Branding/Marketing,High (Commercial),,0.0,0.0,0.0,20.0,16.0,2.753333333333333,0.045,0.8999999999999999,2.478,0.8999999999999999,3.717,1.229902216595998
design branding company,Other/Generic,General Branding/Marketing,High (Commercial),,0.0,0.0,0.0,170.0,10.0,5.207450980392156,0.045,7.649999999999999,39.837,7.649999999999999,41.46299999999999,1.251960237706681
marketing agency luxury brands,Digital Experiences,UX/UI Design,High (Commercial),,1.0,0.0,0.0,10.0,0.0,,0.045,0.45,,0.45,,1.567883265817839
best brand strategy consulting firms,Brand Consulting,Brand Strategy,High (Commercial),,0.0,0.0,0.0,0.0,,,0.045,0.0,,0.0,,0.6464612311378403
agency brands,Other/Generic,General Branding/Marketing,High (Commercial),,0.0,0.0,0.0,2400.0,32.0,6.332361111111111,0.045,108.0,683.895,108.0,685.8,4.624883136706295
luxury design agency,Digital Experiences,UX/UI Design,High (Commercial),,1.0,0.0,0.0,20.0,38.0,1.706666666666667,0.045,0.8999999999999999,1.536,0.8999999999999999,2.304,0.225714899262611
digital marketing and branding agency,Other/Generic,General Branding/Marketing,High (Commercial),,0.0,0.0,0.0,40.0,0.0,,0.045,1.8,,1.8,,1.634657905579521
largest branding agencies,Other/Generic,General Branding/Marketing,High (Commercial),,0.0,0.0,0.0,320.0,20.0,7.657083333333333,0.045,14.4,110.262,14.4,112.608,0.3393332280795748
world's best advertising agency,Brand Management,Ads & Content,High (Commercial),,0.0,0.0,0.0,10.0,33.0,,0.045,0.45,,0.45,,-0.3624029785137486
